year,forest_area_sq_km,forest_area_percent
1990,639380.00,21.5048
1991,643033.00,21.6277
1992,646686.00,21.7506
1993,650339.00,21.8734
1994,653992.00,21.9963
1995,657645.00,22.1192
1996,661298.00,22.2420
1997,664951.00,22.3649
1998,668604.00,22.4878
1999,672257.00,22.6106
2000,675910.00,22.7335
2001,677815.00,22.7976
2002,679720.00,22.8616
2003,681625.00,22.9257
2004,683530.00,22.9898
2005,685435.00,23.0539
2006,687340.00,23.1179
2007,689245.00,23.1820
2008,691150.00,23.2461
2009,693055.00,23.3101
2010,694960.00,23.3742
2011,697624.00,23.4638
2012,700288.00,23.5534
2013,702952.00,23.6430
2014,705616.00,23.7326
2015,708280.00,23.8222
2016,710940.00,23.9117
2017,713610.00,24.0015
2018,716270.00,24.0910
2019,718940.00,24.1808
2020,721600.00,24.2702
2021,724260.00,24.3597
2022,726930.00,24.4495
2023,729592.00,24.5390
